tissue_info1,tissue_info2,tissue_info3,tissue_info4,tissue_info5,tissue_ucode
Srg,WGO_JG,104,C,12/08/2021,WS00001
Srg,WGO_JG,203,C,12/08/2021,WS00002
Srg,WGO_JG,301,C,12/08/2021,WS00003
Srg,WGO_JG,403,C,12/08/2021,WS00004
Srg,WGO_JG,101,C,16/08/2021,WS00005
Srg,WGO_JG,102,C,16/08/2021,WS00006
Srg,WGO_JG,103,C,16/08/2021,WS00007
Srg,WGO_JG,104,C,16/08/2021,WS00008
Srg,WGO_JG,104,P,16/08/2021,WS00009
Srg,WGO_JG,104,D,16/08/2021,WS00010
Srg,WGO_JG,105,C,16/08/2021,WS00011
Srg,WGO_JG,106,C,16/08/2021,WS00012
Srg,WGO_JG,201,C,16/08/2021,WS00013
Srg,WGO_JG,202,C,16/08/2021,WS00014
Srg,WGO_JG,203,P,16/08/2021,WS00015
Srg,WGO_JG,203,D,16/08/2021,WS00016
Srg,WGO_JG,203,C,16/08/2021,WS00017
Srg,WGO_JG,204,D,16/08/2021,WS00018
Srg,WGO_JG,204,C,16/08/2021,WS00019
Srg,WGO_JG,204,P,16/08/2021,WS00020
Srg,WGO_JG,205,C,16/08/2021,WS00021
Srg,WGO_JG,206,C,16/08/2021,WS00022
Srg,WGO_JG,301,D,16/08/2021,WS00023
Srg,WGO_JG,301,C,16/08/2021,WS00024
Srg,WGO_JG,301,P,16/08/2021,WS00025
Srg,WGO_JG,302,C,16/08/2021,WS00026
Srg,WGO_JG,303,C,16/08/2021,WS00027
Srg,WGO_JG,304,C,16/08/2021,WS00028
Srg,WGO_JG,305,C,16/08/2021,WS00029
Srg,WGO_JG,306,C,16/08/2021,WS00030
Srg,WGO_JG,306,P,16/08/2021,WS00031
Srg,WGO_JG,401,C,16/08/2021,WS00032
Srg,WGO_JG,402,C,16/08/2021,WS00033
Srg,WGO_JG,403,D,16/08/2021,WS00034
Srg,WGO_JG,403,C,16/08/2021,WS00035
Srg,WGO_JG,403,P,16/08/2021,WS00036
Srg,WGO_JG,404,C,16/08/2021,WS00037
Srg,WGO_JG,405,C,16/08/2021,WS00038
Srg,WGO_JG,406,C,16/08/2021,WS00039
Srg,WGO_JG,101,P,23/08/2021,WS00040
Srg,WGO_JG,101,D,23/08/2021,WS00041
Srg,WGO_JG,101,C,23/08/2021,WS00042
Srg,WGO_JG,102,D,23/08/2021,WS00043
Srg,WGO_JG,102,P,23/08/2021,WS00044
Srg,WGO_JG,102,C,23/08/2021,WS00045
Srg,WGO_JG,103,D,23/08/2021,WS00046
Srg,WGO_JG,103,P,23/08/2021,WS00047
Srg,WGO_JG,103,C,23/08/2021,WS00048
Srg,WGO_JG,104,P,23/08/2021,WS00049
Srg,WGO_JG,104,C,23/08/2021,WS00050
Srg,WGO_JG,104,D,23/08/2021,WS00051
Srg,WGO_JG,105,D,23/08/2021,WS00052
Srg,WGO_JG,105,P,23/08/2021,WS00053
Srg,WGO_JG,105,C,23/08/2021,WS00054
Srg,WGO_JG,106,P,23/08/2021,WS00055
Srg,WGO_JG,106,D,23/08/2021,WS00056
Srg,WGO_JG,106,C,23/08/2021,WS00057
Srg,WGO_JG,201,C,23/08/2021,WS00058
Srg,WGO_JG,201,P,23/08/2021,WS00059
Srg,WGO_JG,201,D,23/08/2021,WS00060
Srg,WGO_JG,202,D,23/08/2021,WS00061
Srg,WGO_JG,202,C,23/08/2021,WS00062
Srg,WGO_JG,202,P,23/08/2021,WS00063
Srg,WGO_JG,203,P,23/08/2021,WS00064
Srg,WGO_JG,203,C,23/08/2021,WS00065
Srg,WGO_JG,203,D,23/08/2021,WS00066
Srg,WGO_JG,204,D,23/08/2021,WS00067
Srg,WGO_JG,204,C,23/08/2021,WS00068
Srg,WGO_JG,204,P,23/08/2021,WS00069
Srg,WGO_JG,205,D,23/08/2021,WS00070
Srg,WGO_JG,205,C,23/08/2021,WS00071
Srg,WGO_JG,205,P,23/08/2021,WS00072
Srg,WGO_JG,206,P,23/08/2021,WS00073
Srg,WGO_JG,206,D,23/08/2021,WS00074
Srg,WGO_JG,206,C,23/08/2021,WS00075
Srg,WGO_JG,301,C,23/08/2021,WS00076
