tissue_info1,tissue_info2,tissue_info3,tissue_info4,tissue_info5,tissue_info6,tissue_ucode
Srg,WGO_JG,104, ,12/8/2021,C,WS00001
Srg,WGO_JG,203, ,12/8/2021,C,WS00002
Srg,WGO_JG,301, ,12/8/2021,C,WS00003
Srg,WGO_JG,403, ,12/8/2021,C,WS00004
Srg,WGO_JG,101, ,16/08/2021,C,WS00005
Srg,WGO_JG,102, ,16/08/2021,C,WS00006
Srg,WGO_JG,103, ,16/08/2021,C,WS00007
Srg,WGO_JG,104, ,16/08/2021,C,WS00008
Srg,WGO_JG,104, ,16/08/2021,P,WS00009
Srg,WGO_JG,104, ,16/08/2021,D,WS00010
Srg,WGO_JG,105, ,16/08/2021,C,WS00011
Srg,WGO_JG,106, ,16/08/2021,C,WS00012
Srg,WGO_JG,201, ,16/08/2021,C,WS00013
Srg,WGO_JG,202, ,16/08/2021,C,WS00014
Srg,WGO_JG,203, ,16/08/2021,P,WS00015
Srg,WGO_JG,203, ,16/08/2021,D,WS00016
Srg,WGO_JG,203, ,16/08/2021,C,WS00017
Srg,WGO_JG,204, ,16/08/2021,D,WS00018
Srg,WGO_JG,204, ,16/08/2021,C,WS00019
Srg,WGO_JG,204, ,16/08/2021,P,WS00020
Srg,WGO_JG,205, ,16/08/2021,C,WS00021
Srg,WGO_JG,206, ,16/08/2021,C,WS00022
Srg,WGO_JG,301, ,16/08/2021,D,WS00023
Srg,WGO_JG,301, ,16/08/2021,C,WS00024
Srg,WGO_JG,301, ,16/08/2021,P,WS00025
Srg,WGO_JG,302, ,16/08/2021,C,WS00026
Srg,WGO_JG,303, ,16/08/2021,C,WS00027
Srg,WGO_JG,304, ,16/08/2021,C,WS00028
Srg,WGO_JG,305, ,16/08/2021,C,WS00029
Srg,WGO_JG,306, ,16/08/2021,C,WS00030
Srg,WGO_JG,306, ,16/08/2021,P,WS00031
Srg,WGO_JG,401, ,16/08/2021,C,WS00032
Srg,WGO_JG,402, ,16/08/2021,C,WS00033
Srg,WGO_JG,403, ,16/08/2021,D,WS00034
Srg,WGO_JG,403, ,16/08/2021,C,WS00035
Srg,WGO_JG,403, ,16/08/2021,P,WS00036
Srg,WGO_JG,404, ,16/08/2021,C,WS00037
Srg,WGO_JG,405, ,16/08/2021,C,WS00038
Srg,WGO_JG,406, ,16/08/2021,C,WS00039
Srg,WGO_JG,101, ,23/08/2021,P,WS00040
Srg,WGO_JG,101, ,23/08/2021,D,WS00041
Srg,WGO_JG,101, ,23/08/2021,C,WS00042
Srg,WGO_JG,102, ,23/08/2021,D,WS00043
Srg,WGO_JG,102, ,23/08/2021,P,WS00044
Srg,WGO_JG,102, ,23/08/2021,C,WS00045
Srg,WGO_JG,103, ,23/08/2021,D,WS00046
Srg,WGO_JG,103, ,23/08/2021,P,WS00047
Srg,WGO_JG,103, ,23/08/2021,C,WS00048
Srg,WGO_JG,104, ,23/08/2021,P,WS00049
Srg,WGO_JG,104, ,23/08/2021,C,WS00050
Srg,WGO_JG,104, ,23/08/2021,D,WS00051
Srg,WGO_JG,105, ,23/08/2021,D,WS00052
Srg,WGO_JG,105, ,23/08/2021,P,WS00053
Srg,WGO_JG,105, ,23/08/2021,C,WS00054
Srg,WGO_JG,106, ,23/08/2021,P,WS00055
Srg,WGO_JG,106, ,23/08/2021,D,WS00056
Srg,WGO_JG,106, ,23/08/2021,C,WS00057
Srg,WGO_JG,201, ,23/08/2021,C,WS00058
Srg,WGO_JG,201, ,23/08/2021,P,WS00059
Srg,WGO_JG,201, ,23/08/2021,D,WS00060
Srg,WGO_JG,202, ,23/08/2021,D,WS00061
Srg,WGO_JG,202, ,23/08/2021,C,WS00062
Srg,WGO_JG,202, ,23/08/2021,P,WS00063
Srg,WGO_JG,203, ,23/08/2021,P,WS00064
Srg,WGO_JG,203, ,23/08/2021,C,WS00065
Srg,WGO_JG,203, ,23/08/2021,D,WS00066
Srg,WGO_JG,204, ,23/08/2021,D,WS00067
Srg,WGO_JG,204, ,23/08/2021,C,WS00068
Srg,WGO_JG,204, ,23/08/2021,P,WS00069
Srg,WGO_JG,205, ,23/08/2021,D,WS00070
Srg,WGO_JG,205, ,23/08/2021,C,WS00071
Srg,WGO_JG,205, ,23/08/2021,P,WS00072
Srg,WGO_JG,206, ,23/08/2021,P,WS00073
Srg,WGO_JG,206, ,23/08/2021,D,WS00074
Srg,WGO_JG,206, ,23/08/2021,C,WS00075
Srg,WGO_JG,301, ,23/08/2021,C,WS00076
Srg,WGO_JG,301, ,23/08/2021,P,WS00077
Srg,WGO_JG,301, ,23/08/2021,D,WS00078
Srg,WGO_JG,302, ,23/08/2021,C,WS00079
Srg,WGO_JG,302, ,23/08/2021,P,WS00080
Srg,WGO_JG,302, ,23/08/2021,D,WS00081
Srg,WGO_JG,303, ,23/08/2021,D,WS00082
Srg,WGO_JG,303, ,23/08/2021,C,WS00083
Srg,WGO_JG,303, ,23/08/2021,P,WS00084
Srg,WGO_JG,304, ,23/08/2021,D,WS00085
Srg,WGO_JG,304, ,23/08/2021,C,WS00086
Srg,WGO_JG,304, ,23/08/2021,P,WS00087
Srg,WGO_JG,305, ,23/08/2021,C,WS00088
Srg,WGO_JG,305, ,23/08/2021,D,WS00089
Srg,WGO_JG,305, ,23/08/2021,P,WS00090
Srg,WGO_JG,306, ,23/08/2021,P,WS00091
Srg,WGO_JG,306, ,23/08/2021,D,WS00092
Srg,WGO_JG,306, ,23/08/2021,C,WS00093
Srg,WGO_JG,401, ,23/08/2021,D,WS00094
Srg,WGO_JG,401, ,23/08/2021,P,WS00095
Srg,WGO_JG,401, ,23/08/2021,C,WS00096
Srg,WGO_JG,402, ,23/08/2021,P,WS00097
Srg,WGO_JG,402, ,23/08/2021,D,WS00098
Srg,WGO_JG,402, ,23/08/2021,C,WS00099
Srg,WGO_JG,403, ,23/08/2021,D,WS00100
Srg,WGO_JG,403, ,23/08/2021,C,WS00101
Srg,WGO_JG,403, ,23/08/2021,P,WS00102
Srg,WGO_JG,404, ,23/08/2021,C,WS00103
Srg,WGO_JG,404, ,23/08/2021,P,WS00104
Srg,WGO_JG,404, ,23/08/2021,D,WS00105
Srg,WGO_JG,405, ,23/08/2021,D,WS00106
Srg,WGO_JG,405, ,23/08/2021,P,WS00107
Srg,WGO_JG,405, ,23/08/2021,C,WS00108
